epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,6691.35,0.97339,0.74765,1.1634,0.83307,0.71403,0.7932,0.47281,1.43824,0.94067,1.39629,0.0067726,0.0067726,0.0067726
165,6728.51,0.96858,0.75624,1.15564,0.81399,0.72549,0.79154,0.47252,1.4406,0.93692,1.39855,0.0067528,0.0067528,0.0067528
166,6765.64,0.96831,0.74261,1.14844,0.81622,0.72496,0.78807,0.47058,1.43806,0.94314,1.39264,0.006733,0.006733,0.006733
167,6802.92,0.95382,0.74012,1.15186,0.81575,0.73441,0.79133,0.46831,1.4337,0.93992,1.38911,0.0067132,0.0067132,0.0067132
168,6840.13,0.95402,0.72948,1.14727,0.83711,0.72555,0.79233,0.46775,1.43463,0.93463,1.39088,0.0066934,0.0066934,0.0066934
169,6877.28,0.9619,0.74674,1.15474,0.8314,0.71935,0.78691,0.46711,1.4413,0.93302,1.39824,0.0066736,0.0066736,0.0066736
170,6914.53,0.95777,0.73475,1.15217,0.82697,0.7179,0.78898,0.46662,1.43773,0.93475,1.39258,0.0066538,0.0066538,0.0066538
171,6951.75,0.96001,0.74064,1.15416,0.82611,0.70956,0.78861,0.46709,1.44012,0.93923,1.39545,0.006634,0.006634,0.006634
172,6988.88,0.96564,0.73611,1.14998,0.829,0.71005,0.78997,0.46632,1.44244,0.93618,1.39633,0.0066142,0.0066142,0.0066142
173,7026.08,0.94174,0.72504,1.14245,0.83593,0.70777,0.79084,0.46538,1.44002,0.93433,1.39755,0.0065944,0.0065944,0.0065944
174,7063.24,0.9534,0.73119,1.14619,0.82733,0.71153,0.79007,0.46633,1.43984,0.93346,1.39928,0.0065746,0.0065746,0.0065746
175,7100.43,0.95316,0.7214,1.14251,0.83691,0.70446,0.79062,0.46497,1.43895,0.93318,1.39975,0.0065548,0.0065548,0.0065548
176,7137.65,0.94134,0.72715,1.14833,0.83178,0.7012,0.78533,0.4662,1.43711,0.93483,1.39862,0.006535,0.006535,0.006535
177,7174.79,0.94283,0.71765,1.14165,0.83565,0.69885,0.78855,0.46666,1.44001,0.9389,1.3991,0.0065152,0.0065152,0.0065152
178,7211.86,0.94586,0.72729,1.14326,0.8152,0.70673,0.78828,0.46627,1.43748,0.94141,1.39736,0.0064954,0.0064954,0.0064954
179,7249,0.9412,0.72735,1.14248,0.83974,0.69821,0.78933,0.46781,1.4391,0.9405,1.39855,0.0064756,0.0064756,0.0064756
